"","plant_code","mass_g","site","treatment","greenhouse","leaves_total","leaves_herbivory","proportion_herbivory","month","n.obs.x","X","lat","lon","ele_m","garden_area_m2","num_of_gardenplots","percent_dev_2km","percent_dev_200m","percent_dev_1km","percent_dev_500m","crop_pasture_2km","crop_pasture_200m","crop_pasture_500m","area_km2","country_code","Population.to.polygon.size.rating.for.the.country","Apportionment.confidence.for.the.country","Has.data","pop_den_2022","pop_tot_2022","med_networth_2022","med_houseincome_2022","med_dispincome_2022","tot_households_2022","wealth_index_2022","diversity_index_2022","tot_housingunits_2022","homeowners_growthRate_22_27","renter_hh_2020","tot_businesses_2022","poverty_index_2020","crime_index_2022","renter_occ_Hus_2022","med_age_2022","med_homevalue_2022","mean_homevalue_2022","pop_BA_2022","pop_gradDegree_2022","imp200m","imp500m","imp1km","imp1.5km","imp2km","n.obs.herb","n.obs.pred","n.obs.pol","bee.rare.richness","bee.shannon","bee.simpson.x","scaled_wealth_index_2022","pepper.obs","n.obs.y","bee.simpson.y"
"21","Haw-023",9.47942857142857,"Hawthorne","uncovered","backroom",112,8,0.07142857143,"August",110,3,40.0333295,-105.27708,1644,18238.58,200,30.78932,2.864789,17.99087,20.28271,0.02864789,0,0,3.01559595,"US",2.191,2.576,1,5343,6221,601239,133830,104588,2543,235,36.1,2662,-0.09,598,259,63.03,66,632,42.1,964030,1118969,1659,2202,22.6758241758242,34.3484848484849,33.305065581185,33.1763,33.9018628661205,18,4,49,7,2.9342679699201,1.94283201407212,1.73541062487114,7,3843,82.0051602577966
"22","Haw-024",16.4705,"Hawthorne","uncovered","midroom",78,6,0.07692307692,"August",110,3,40.0333295,-105.27708,1644,18238.58,200,30.78932,2.864789,17.99087,20.28271,0.02864789,0,0,3.01559595,"US",2.191,2.576,1,5343,6221,601239,133830,104588,2543,235,36.1,2662,-0.09,598,259,63.03,66,632,42.1,964030,1118969,1659,2202,22.6758241758242,34.3484848484849,33.305065581185,33.1763,33.9018628661205,18,4,49,7,2.9342679699201,1.94283201407212,1.73541062487114,2,3843,82.0051602577966
"23","Haw-025",21.386,"Hawthorne","uncovered","midroom",83,3,0.03614457831,"August",110,3,40.0333295,-105.27708,1644,18238.58,200,30.78932,2.864789,17.99087,20.28271,0.02864789,0,0,3.01559595,"US",2.191,2.576,1,5343,6221,601239,133830,104588,2543,235,36.1,2662,-0.09,598,259,63.03,66,632,42.1,964030,1118969,1659,2202,22.6758241758242,34.3484848484849,33.305065581185,33.1763,33.9018628661205,18,4,49,7,2.9342679699201,1.94283201407212,1.73541062487114,1,3843,82.0051602577966
"24","Haw-027",15.3645,"Hawthorne","covered","backroom",87,9,0.1034482759,"August",110,3,40.0333295,-105.27708,1644,18238.58,200,30.78932,2.864789,17.99087,20.28271,0.02864789,0,0,3.01559595,"US",2.191,2.576,1,5343,6221,601239,133830,104588,2543,235,36.1,2662,-0.09,598,259,63.03,66,632,42.1,964030,1118969,1659,2202,22.6758241758242,34.3484848484849,33.305065581185,33.1763,33.9018628661205,18,4,49,7,2.9342679699201,1.94283201407212,1.73541062487114,2,3843,82.0051602577966
"25","Haw-028",16.3426,"Hawthorne","covered","midroom",98,8,0.08163265306,"August",110,3,40.0333295,-105.27708,1644,18238.58,200,30.78932,2.864789,17.99087,20.28271,0.02864789,0,0,3.01559595,"US",2.191,2.576,1,5343,6221,601239,133830,104588,2543,235,36.1,2662,-0.09,598,259,63.03,66,632,42.1,964030,1118969,1659,2202,22.6758241758242,34.3484848484849,33.305065581185,33.1763,33.9018628661205,18,4,49,7,2.9342679699201,1.94283201407212,1.73541062487114,5,3843,82.0051602577966
"26","Haw-029",14.911,"Hawthorne","covered","midroom",77,8,0.1038961039,"August",110,3,40.0333295,-105.27708,1644,18238.58,200,30.78932,2.864789,17.99087,20.28271,0.02864789,0,0,3.01559595,"US",2.191,2.576,1,5343,6221,601239,133830,104588,2543,235,36.1,2662,-0.09,598,259,63.03,66,632,42.1,964030,1118969,1659,2202,22.6758241758242,34.3484848484849,33.305065581185,33.1763,33.9018628661205,18,4,49,7,2.9342679699201,1.94283201407212,1.73541062487114,2,3843,82.0051602577966
"27","Haw-030",13.8213333333333,"Hawthorne","covered","backroom",93,3,0.03225806452,"August",110,3,40.0333295,-105.27708,1644,18238.58,200,30.78932,2.864789,17.99087,20.28271,0.02864789,0,0,3.01559595,"US",2.191,2.576,1,5343,6221,601239,133830,104588,2543,235,36.1,2662,-0.09,598,259,63.03,66,632,42.1,964030,1118969,1659,2202,22.6758241758242,34.3484848484849,33.305065581185,33.1763,33.9018628661205,18,4,49,7,2.9342679699201,1.94283201407212,1.73541062487114,3,3843,82.0051602577966
"28","Hic-031",14.1302,"Hickory","uncovered","backroom",23,3,0.1304347826,"August",108,4,40.0015955,-105.23297,1610,2736.12,28,36.54755,20.053523,26.67119,39.64868,5.14229621,0,0,3.01559595,"US",2.191,2.576,1,6239.7,7265,175126,95463,77416,3295,135,44.8,3564,0.46,1335,214,73.19,78,1473,39.4,715416,756463,2005,2429,28.9387755102041,41.4705882352941,34.3425160697888,30.4408,33.7759523279127,14,4,25,8,5.33564051851863,4.04587155963303,-0.899703122221697,5,3584,92.2168909109957
"29","Hic-032",13.0920833333333,"Hickory","uncovered","backroom",74,7,0.09459459459,"August",108,4,40.0015955,-105.23297,1610,2736.12,28,36.54755,20.053523,26.67119,39.64868,5.14229621,0,0,3.01559595,"US",2.191,2.576,1,6239.7,7265,175126,95463,77416,3295,135,44.8,3564,0.46,1335,214,73.19,78,1473,39.4,715416,756463,2005,2429,28.9387755102041,41.4705882352941,34.3425160697888,30.4408,33.7759523279127,14,4,25,8,5.33564051851863,4.04587155963303,-0.899703122221697,12,3584,92.2168909109957
"30","Hic-033",22.311,"Hickory","uncovered","midroom",125,12,0.096,"August",108,4,40.0015955,-105.23297,1610,2736.12,28,36.54755,20.053523,26.67119,39.64868,5.14229621,0,0,3.01559595,"US",2.191,2.576,1,6239.7,7265,175126,95463,77416,3295,135,44.8,3564,0.46,1335,214,73.19,78,1473,39.4,715416,756463,2005,2429,28.9387755102041,41.4705882352941,34.3425160697888,30.4408,33.7759523279127,14,4,25,8,5.33564051851863,4.04587155963303,-0.899703122221697,1,3584,92.2168909109957
"31","Hic-034",14.6942,"Hickory","uncovered","backroom",48,2,0.04166666667,"August",108,4,40.0015955,-105.23297,1610,2736.12,28,36.54755,20.053523,26.67119,39.64868,5.14229621,0,0,3.01559595,"US",2.191,2.576,1,6239.7,7265,175126,95463,77416,3295,135,44.8,3564,0.46,1335,214,73.19,78,1473,39.4,715416,756463,2005,2429,28.9387755102041,41.4705882352941,34.3425160697888,30.4408,33.7759523279127,14,4,25,8,5.33564051851863,4.04587155963303,-0.899703122221697,5,3584,92.2168909109957
"32","Hic-036",10.8166,"Hickory","covered","midroom",75,4,0.05333333333,"August",108,4,40.0015955,-105.23297,1610,2736.12,28,36.54755,20.053523,26.67119,39.64868,5.14229621,0,0,3.01559595,"US",2.191,2.576,1,6239.7,7265,175126,95463,77416,3295,135,44.8,3564,0.46,1335,214,73.19,78,1473,39.4,715416,756463,2005,2429,28.9387755102041,41.4705882352941,34.3425160697888,30.4408,33.7759523279127,14,4,25,8,5.33564051851863,4.04587155963303,-0.899703122221697,5,3584,92.2168909109957
"33","Hic-037",15.6565,"Hickory","covered","midroom",99,9,0.09090909091,"August",108,4,40.0015955,-105.23297,1610,2736.12,28,36.54755,20.053523,26.67119,39.64868,5.14229621,0,0,3.01559595,"US",2.191,2.576,1,6239.7,7265,175126,95463,77416,3295,135,44.8,3564,0.46,1335,214,73.19,78,1473,39.4,715416,756463,2005,2429,28.9387755102041,41.4705882352941,34.3425160697888,30.4408,33.7759523279127,14,4,25,8,5.33564051851863,4.04587155963303,-0.899703122221697,2,3584,92.2168909109957
"34","Hic-038",19.157375,"Hickory","covered","midroom",90,8,0.08888888889,"August",108,4,40.0015955,-105.23297,1610,2736.12,28,36.54755,20.053523,26.67119,39.64868,5.14229621,0,0,3.01559595,"US",2.191,2.576,1,6239.7,7265,175126,95463,77416,3295,135,44.8,3564,0.46,1335,214,73.19,78,1473,39.4,715416,756463,2005,2429,28.9387755102041,41.4705882352941,34.3425160697888,30.4408,33.7759523279127,14,4,25,8,5.33564051851863,4.04587155963303,-0.899703122221697,8,3584,92.2168909109957
"35","Hic-039",19.061,"Hickory","covered","midroom",121,14,0.1157024793,"August",108,4,40.0015955,-105.23297,1610,2736.12,28,36.54755,20.053523,26.67119,39.64868,5.14229621,0,0,3.01559595,"US",2.191,2.576,1,6239.7,7265,175126,95463,77416,3295,135,44.8,3564,0.46,1335,214,73.19,78,1473,39.4,715416,756463,2005,2429,28.9387755102041,41.4705882352941,34.3425160697888,30.4408,33.7759523279127,14,4,25,8,5.33564051851863,4.04587155963303,-0.899703122221697,1,3584,92.2168909109957
